Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Série A,2023,2023-04-15,Botafogo,2,1,São Paulo,VC,3,0,1
Série A,2023,2023-04-15,Palmeiras,2,1,Cuiabá,VC,3,0,2
Série A,2023,2023-04-15,Red Bull Bragantino,2,1,Bahia,VC,3,0,3
Série A,2023,2023-04-15,Atlético-MG,1,2,Vasco,VV,0,3,4
Série A,2023,2023-04-15,Athletico-PR,2,0,Goiás,VC,3,0,5
Série A,2023,2023-04-15,Fortaleza,1,1,Internacional,E,1,1,6
Série A,2023,2023-04-15,América-MG,0,3,Fluminense,VV,0,3,7
Série A,2023,2023-04-16,Flamengo,3,0,Coritiba,VC,3,0,8
Série A,2023,2023-04-16,Corinthians,2,1,Cruzeiro,VC,3,0,9
Série A,2023,2023-04-16,Grêmio,1,0,Santos,VC,3,0,10
Série A,2023,2023-04-22,Cuiabá,1,1,Red Bull Bragantino,E,1,1,11
Série A,2023,2023-04-22,Cruzeiro,1,0,Grêmio,VC,3,0,12
Série A,2023,2023-04-22,Fluminense,2,0,Athletico-PR,VC,3,0,13
Série A,2023,2023-04-22,São Paulo,3,0,América-MG,VC,3,0,14
Série A,2023,2023-04-23,Coritiba,0,3,Fortaleza,VV,0,3,15
Série A,2023,2023-04-23,Vasco,2,2,Palmeiras,E,1,1,16
Série A,2023,2023-04-23,Santos,0,0,Atlético-MG,E,1,1,17
Série A,2023,2023-04-23,Goiás,3,1,Corinthians,VC,3,0,18
Série A,2023,2023-04-23,Internacional,2,1,Flamengo,VC,3,0,19
Série A,2023,2023-04-24,Bahia,1,2,Botafogo,VV,0,3,20
Série A,2023,2023-04-29,Coritiba,1,1,São Paulo,E,1,1,21
Série A,2023,2023-04-29,Fortaleza,4,2,Fluminense,VC,3,0,22
Série A,2023,2023-04-29,Atlético-MG,2,1,Athletico-PR,VC,3,0,23
Série A,2023,2023-04-29,Palmeiras,2,1,Corinthians,VC,3,0,24
Série A,2023,2023-04-29,Santos,3,2,América-MG,VC,3,0,25
Série A,2023,2023-04-29,Red Bull Bragantino,0,3,Cruzeiro,VV,0,3,26
Série A,2023,2023-04-30,Flamengo,2,3,Botafogo,VV,0,3,27
Série A,2023,2023-04-30,Internacional,1,0,Goiás,VC,3,0,28
Série A,2023,2023-04-30,Cuiabá,1,2,Grêmio,VV,0,3,29
Série A,2023,2023-05-01,Vasco,0,1,Bahia,VV,0,3,30
Série A,2023,2023-05-06,Fluminense,1,1,Vasco,E,1,1,31
Série A,2023,2023-05-06,Cruzeiro,2,1,Santos,VC,3,0,32
Série A,2023,2023-05-07,América-MG,1,2,Cuiabá,VV,0,3,33
Série A,2023,2023-05-07,Bahia,3,1,Coritiba,VC,3,0,34
